102	23
127	44
178	58
185	79
208	138
215	159
266	183
273	204
281	237
317	268
340	315
342	348
368	376
382	382
392	413
418	441
434	443
443	457
453	488
479	516
590	546
607	554
618	579
620	612
641	619
644	646
651	657
654	677
677	685
680	705
701	722
727	750
732	784
749	842
756	846
770	922
803	948
817	959
820	977
824	1028
852	1061
854	1094
876	1095
878	1128
885	1139
888	1159
911	1167
914	1187
935	1204
944	1245
963	1290
1000	1295
1013	1303
1021	1323
1024	1329
1031	1340
1032	1396
1051	1441
1085	1454
1092	1460
1099	1471
1102	1491
1125	1499
1128	1519
1139	1540
1154	1611
1173	1656
1219	1657
1231	1689
1242	1762
1261	1807
1295	1820
1310	1832
1319	1840
1321	1848
1333	1856
1342	1865
1347	1873
1349	1906
1369	1916
1373	1940
1380	1951
1383	1971
1398	1983
1409	1999
1430	2016
1447	2023
1454	2034
1456	2044
1457	2054
1480	2062
1483	2082
1504	2099
1530	2127
